"";"elokuva";"katsojat";"vuosi";"levittaja";"enskari";"orignimi";"maa"
"713";"Sceam 4";39391;"2011";"Scanbox Finland Oy";2011-04-15;"Sceam 4";"USA"
"714";"Sucker Punch";15804;"2011";"FS Film Oy";2011-04-15;"Sucker Punch";"USA"
"715";"Justin Bieber: Never Say Never";8433;"2011";"Finnkino Oy";2011-04-08;"Justin Bieber: Never Say Never";"USA"
"716";"Oceans";14319;"2011";"Atlantic Film Oy";2011-04-08;"Océans";"RANSKA"
"717";"Rajaton";39156;"2011";"Nordisk Film Theatrical Distribution Oy";2011-04-08;"Limitless";"USA"
"718";"Red Riding Hood - Punahilkka";47335;"2011";"FS Film Oy";2011-04-08;"Red Riding Hood";"USA"
"719";"Elokuu";39732;"2011";"Nordisk Film Theatrical Distribution Oy";2011-04-01;"Elokuu";"SUOMI"
"720";"Huomenna sodan alettua";608;"2011";"Finnkino Oy";2011-04-01;"Tomorrow When The War Began";"AUSTRALIA-USA"
"721";"Nainen, pyssy ja nuudelipuoti";800;"2011";"Cinema Mondo Oy";2011-04-01;"San qiang pai an jing qi";"KIINA"
"722";"Sinkkuelämän säännöt";3002;"2011";"Sandrew Metronome Dist.";2011-04-01;"Sinkkuelämän säännöt";"SUOMI"
"723";"World Invasion: Battle Los Angeles";21278;"2011";"The Walt Disney Company Nordic";2011-04-01;"Battle: Los Angeles";"USA"
"724";"Arthur ja kaksi maailmaa";12999;"2011";"Scanbox Finland Oy";2011-03-25;"Arthur et la guerre des deux mondes";"RANSKA"
"725";"Huuto";1677;"2011";"Future Film";2011-03-25;"Howl";"USA"
"726";"Hyvä poika";10159;"2011";"The Walt Disney Company Nordic";2011-03-25;"Hyvä poika";"SUOMI"
"727";"Sanctum";24116;"2011";"FS Film Oy";2011-03-25;"Sanctum";"USA-AUSTRALIA"
"728";"I Am Number Four";14616;"2011";"The Walt Disney Company Nordic";2011-03-18;"I Am Number Four";"USA"
"729";"Iltapäivä Toscanassa";16058;"2011";"Atlantic Film Oy";2011-03-18;"Copie conforme";"RANSKA-ITALIA-BELGIA"
"730";"Rango";44419;"2011";"Finnkino Oy";2011-03-18;"Rango";"USA"
"731";"Veljekset";3824;"2011";"FS Film Oy";2011-03-18;"Veljekset";"SUOMI"
"732";"Kohtalon valvojat";25979;"2011";"Finnkino Oy";2011-03-11;"The Adjustment Bureau";"USA"
"733";"Muiden hyväksi";466;"2011";"Cinema Mondo Oy";2011-03-11;"El mal ajeno";"ESPANJA"
"734";"Salla - Selling the Silence";831;"2011";"Pirkanmaan Elokuvakeskus";2011-03-11;"Salla - Selling the Silence";"SUOMI"
"735";"Sovinto";51944;"2011";"Nordisk Film Theatrical Distribution Oy";2011-03-11;"Svinalängorna";"RUOTSI-SUOMI"
"736";"Black Swan";170155;"2011";"FS Film Oy";2011-03-04;"Black Swan";"USA"
"737";"Gnomeo & Julia";24372;"2011";"The Walt Disney Company Nordic";2011-03-04;"Gnomeo & Juliet";"USA"
"738";"Kaboom";1525;"2011";"Cinema Mondo Oy";2011-03-04;"Kaboom";"USA"
"739";"The Rite";11980;"2011";"Sandrew Metronome Dist.";2011-03-04;"The Rite";"USA"
"740";"Rabbit Hole &#8722; takaisin elämään";1571;"2011";"Future Film";2011-02-28;"Rabbit Hole";"USA"
"741";"Just Go With It";39147;"2011";"The Walt Disney Company Nordic";2011-02-26;"Just Go With It";"USA"
"742";"Puu";3187;"2011";"Bio Rex Cinemas";2011-02-25;"The Tree";"RANSKA"
"743";"Summer Wars";1361;"2011";"Finnkino Oy";2011-02-25;"Samâ wôzu";"JAPANI"
"744";"Vuosi Elämästä";38111;"2011";"FS Film Oy";2011-02-25;"Another Year";"ENGLANTI"
"745";"Eetu ja konna";16427;"2011";"Finnkino Oy";2011-02-18;"Eetu ja konna";"SUOMI"
"746";"Gulliverin Matkat";43232;"2011";"FS Film Oy";2011-02-18;"Gulliver's Travels";"USA"
"747";"Kotka";5189;"2011";"Nordisk Film Theatrical Distribution Oy";2011-02-18;"The Eagle";"USA"
"748";"Kova kuin kivi";49156;"2011";"Finnkino Oy";2011-02-18;"True Grit";"USA"
"749";"Kaksin karkuteillä";168880;"2011";"The Walt Disney Company Nordic";2011-02-11;"Tangled";"USA"
"750";"Musta noita";3869;"2011";"Nordisk Film Theatrical Distribution Oy";2011-02-11;"Season of the Witch";"USA"
"751";"Näin ystävien kesken";44285;"2011";"Finnkino Oy";2011-02-11;"No Strings Attached";"USA"
"752";"The Way Back";14714;"2011";"Scanbox Finland Oy";2011-02-11;"The Way Back";"USA"
"753";"Brighton Rock";2827;"2011";"Cinema Mondo Oy";2011-02-04;"Brighton Rock";"ENGLANTI"
"754";"Burleski";28941;"2011";"The Walt Disney Company Nordic";2011-02-04;"Burlesque";"USA"
"755";"Tuntematon emäntä";17357;"2011";"Pirkanmaan Elokuvakeskus";2011-02-04;"Tuntematon emäntä";"SUOMI"
"756";"127 Tuntia";38042;"2011";"FS Film Oy";2011-02-04;"127 Hours";"USA-ENGLANTI"
"757";"Hella W";85320;"2011";"Sandrew Metronome Dist.";2011-01-28;"Hella W";"SUOMI"
"758";"Jogi-karhu";80975;"2011";"Sandrew Metronome Dist.";2011-01-28;"Yogi Bear";"USA"
"759";"Taistelija";12531;"2011";"Nordisk Film Theatrical Distribution Oy";2011-01-28;"The Fighter";"USA"
"760";"Winter's Bone";10092;"2011";"Cinema Mondo Oy";2011-01-28;"Winter's Bone";"USA"
"761";"Animal Kingdom";2527;"2011";"Scanbox Finland Oy";2011-01-21;"Animal Kingdom";"AUSTRALIA"
"762";"Biutiful";13736;"2011";"Nordisk Film Theatrical Distribution Oy";2011-01-21;"Biutiful";"MEKSIKO-ESPANJA"
"763";"Kuninkaan Puhe";195550;"2011";"FS Film Oy";2011-01-21;"The King's Speech";"ENGLANTI"
"764";"The Tourist";62046;"2011";"The Walt Disney Company Nordic";2011-01-21;"The Tourist";"USA"
"765";"Hereafter";16484;"2011";"Sandrew Metronome Dist.";2011-01-14;"Hereafter";"USA"
"766";"Morning Glory";12928;"2011";"Finnkino Oy";2011-01-14;"Morning Glory";"USA"
"767";"Mä oon mikä oon";767;"2011";"Cinema Mondo Oy";2011-01-14;"Somos lo que hay";"MEKSIKO"
"768";"The Green Hornet";18104;"2011";"The Walt Disney Company Nordic";2011-01-14;"The Green Hornet";"USA"
"769";"Jumalista ja ihmisistä";12312;"2011";"Cinema Mondo Oy";2011-01-07;"Des hommes et des dieux";"RANSKA"
"770";"Saman katon alla";16732;"2011";"Sandrew Metronome Dist.";2011-01-07;"Life as We Know It";"USA"
"771";"Vares - Pahan suudelma";204203;"2011";"Nordisk Film Theatrical Distribution Oy";2011-01-06;"Vares - Pahan suudelma";"SUOMI"
"772";"Julian silmät";15375;"2010";"Cinema Mondo Oy";2010-12-31;"Los ojos de Julia";"ESPANJA"
"773";"Love And Other Drugs";45640;"2010";"FS Film Oy";2010-12-31;"Love And Other Drugs";"USA"
"774";"Pienin painajainen perheessä";23768;"2010";"Finnkino Oy";2010-12-31;"Little Fockers";"USA"
"775";"Somewhere";14999;"2010";"FS Film Oy";2010-12-31;"Somewhere";"USA"
"776";"Kirjeitä lapsuudestani";2093;"2010";"Future Film";2010-12-25;"L'age de raison";"RANSKA"
"777";"Megamind";50254;"2010";"Finnkino Oy";2010-12-25;"Megamind";"USA"
"778";"Narnian tarinat: Kaspianin matka maailman ääriin";91940;"2010";"FS Film Oy";2010-12-25;"Chronicles Of Narnia: Voyage Of The Dawn Treader";"USA"
"779";"Täysihoito";10922;"2010";"Cinema Mondo Oy";2010-12-25;"De vrais mensonges";"RANSKA"
"780";"Veijarit";112294;"2010";"Nordisk Film Theatrical Distribution Oy";2010-12-25;"Veijarit";"SUOMI"
"781";"Ennen aikojaan";4835;"2010";"Scanbox Finland Oy";2010-12-17;"Get Low";"USA"
"782";"Jouluksi kotiin";1158;"2010";"Sandrew Metronome Dist.";2010-12-17;"Hjem till Jul";"NORJA"
"783";"Nukkumatti - seikkailu unimaassa";10992;"2010";"Finnkino Oy";2010-12-17;"Das Sandmänchen - Abenteuer im Traumland";"SAKSA-RANSKA"
"784";"Tron: Perintö";37206;"2010";"The Walt Disney Company Nordic";2010-12-17;"Tron - Legacy";"USA"
"785";"Machete";10503;"2010";"The Walt Disney Company Nordic";2010-12-10;"Machete";"USA"
"786";"Skyline";2004;"2010";"Nordisk Film Theatrical Distribution Oy";2010-12-10;"Skyline";"USA"
"787";"Kangastuksia";2532;"2010";"Bio Rex Cinemas";2010-12-03;"Les Amours Imaginaires";"KANADA"
"788";"Kun silmäni mä auki saan";2344;"2010";"Cinema Mondo Oy";2010-12-03;"Cosa voglio di piu";"ITALIA"
"789";"Rare Exports";251861;"2010";"FS Film Oy";2010-12-03;"Rare Exports";"SUOMI"
"790";"Sammyn suuri seikkailu";32088;"2010";"FS Film Oy";2010-12-03;"Sammy's avonturen: De geheime doorgang";"BELGIA"
"791";"Jackass 3D";23056;"2010";"Finnkino Oy";2010-11-26;"Jackass 3D";"USA"
"792";"Katastrofikytät";10497;"2010";"The Walt Disney Company Nordic";2010-11-26;"The Other Guys";"USA"
"793";"Sielunpelastajat";221;"2010";"Pirkanmaan Elokuvakeskus";2010-11-26;"Sielunpelastajat";"SUOMI"
"794";"The Next Three Days";8707;"2010";"FS Film Oy";2010-11-26;"The Next Three Days";"USA"
"795";"Viimeinen manaus";1389;"2010";"Future Film";2010-11-26;"The Last Exorcism";"USA"
"796";"Harry Potter ja kuoleman varjelukset osa 1";322529;"2010";"Sandrew Metronome Dist.";2010-11-19;"Harry Potter and the Deathly Hallows part 1";"USA"
"797";"Hyvä sydän";938;"2010";"Scanbox Finland Oy";2010-11-19;"The Good Heart";"TANSKA"
"798";"Pariisin vainotut";2903;"2010";"Cinema Mondo Oy";2010-11-19;"La rafle";"RANSKA"
"799";"ITO - kilvoittelijan päiväkirja";3201;"2010";"Cinema Mondo Oy";2010-11-12;"ITO - kilvoittelijan päiväkirja";"SUOMI"
"800";"Piranha 3D";4622;"2010";"Future Film";2010-11-12;"Piranha 3D";"USA"
"801";"RED";29337;"2010";"Nordisk Film Theatrical Distribution Oy";2010-11-12;"RED";"USA"
"802";"The Town";17751;"2010";"Sandrew Metronome Dist.";2010-11-12;"The Town";"USA"
"803";"Unstoppable - pysättämätön";7811;"2010";"FS Film Oy";2010-11-12;"Unstoppable";"USA"
"804";"Devil";5145;"2010";"Finnkino Oy";2010-11-05;"Devil";"USA"
"805";"Fair Game";2946;"2010";"FS Film Oy";2010-11-05;"Fair Game";"USA"
"806";"I rymden finns inga känslor";73;"2010";"FS Film Oy";2010-11-05;"I rymden finns inga känslor";"RUOTSI"
"807";"Kosto";15587;"2010";"Bio Rex Cinemas";2010-11-05;"Hævnen";"TANSKA-RUOTSI"
"808";"Laskettu aika";63087;"2010";"Sandrew Metronome Dist.";2010-11-05;"Due Date";"USA"
"809";"Harjunpää ja pahan pappi";51179;"2010";"Nordisk Film Theatrical Distribution Oy";2010-10-29;"Harjunpää ja pahan pappi";"SUOMI"
"810";"Ruotsalainen avioliitto";10457;"2010";"Cinema Mondo Oy";2010-10-29;"Det enda rationella";"RUOTSI-SUOMI"
"811";"Saw VII 3D";30386;"2010";"Scanbox Finland Oy";2010-10-29;"Saw VII 3D";"USA-KANADA"
"812";"You Will Meet A Tall Dark Stranger";24827;"2010";"Scanbox Finland Oy";2010-10-29;"You Will Meet A Tall Dark Stranger";"USA"
"813";"Kiertue";1830;"2010";"Cinema Mondo Oy";2010-10-22;"Tourneé";"RANSKA"
"814";"Paranormal Activity 2";25072;"2010";"Finnkino Oy";2010-10-22;"Paranormal Activity 2";"USA"
"815";"The Social Network";57482;"2010";"The Walt Disney Company Nordic";2010-10-22;"The Social Network";"USA"
"816";"Itse ilkimys";128829;"2010";"Finnkino Oy";2010-10-15;"Despicable Me";"USA"
"817";"Napapiirin sankarit";384392;"2010";"Sandrew Metronome Dist.";2010-10-15;"Napapiirin sankarit";"SUOMI"
"818";"Rakkautta italialaisittain";7643;"2010";"Scanbox Finland Oy";2010-10-15;"Io Sono L'amore";"ITALIA"
"819";"Eat Pray Love";63831;"2010";"The Walt Disney Company Nordic";2010-10-08;"Eat Pray Love";"USA"
"820";"Legenda suojelijoista";13655;"2010";"Sandrew Metronome Dist.";2010-10-08;"Legend of the Guardians: The Owls of Ga'Hoole";"USA"
"821";"Tappaja sisälläni";1004;"2010";"Future Film";2010-10-08;"The Killer Inside Me";"USA"
"822";"The American";12758;"2010";"FS Film Oy";2010-10-08;"The American";"USA"
"823";"Buried";11684;"2010";"Scanbox Finland Oy";2010-10-01;"Buried";"ESPANJA"
"824";"Mr. Nobody";20231;"2010";"Cinema Mondo Oy";2010-10-01;"Mr. Nobody";"RANSKA-BELGIA"
"825";"Oikeesti aikuiset";15573;"2010";"The Walt Disney Company Nordic";2010-10-01;"Grown Ups";"USA"
"826";"Scott Pilgrim vs. the World";15996;"2010";"Finnkino Oy";2010-10-01;"Scott Pilgrim vs. the World";"USA-ENGLANTI"
"827";"Wall Street: Money Never Sleeps";51298;"2010";"FS Film Oy";2010-10-01;"Wall Street: Money Never Sleeps";"USA"
"828";"Armadillo";4237;"2010";"Bio Rex Cinemas";2010-09-24;"Armadillo";"TANSKA"
"829";"Gainsbourg - tarina legendasta";3229;"2010";"FS Film Oy";2010-09-24;"Gainsbourg (Vie héroïque)";"RANSKA"
"830";"Pom Poko";2645;"2010";"Cinema Mondo Oy";2010-09-24;"Heisei tanuki gassen pompoko";"JAPANI"
"831";"The Kids Are All Right";17476;"2010";"Scanbox Finland Oy";2010-09-24;"The Kids Are All Right";"USA"
"832";"Täällä Pohjantähden Alla II";68489;"2010";"The Walt Disney Company Nordic";2010-09-24;"Täällä Pohjantähden Alla II";"SUOMI"
"833";"Resident Evil: Afterlife 3D";34440;"2010";"The Walt Disney Company Nordic";2010-09-17;"Resident Evil: Afterlife 3D";"USA"
"834";"Vaihtamalla paranee";12010;"2010";"FS Film Oy";2010-09-17;"The Switch";"USA"
"835";"Kaukorakkautta";6486;"2010";"Sandrew Metronome Dist.";2010-09-10;"Going the Distance";"USA"
"836";"Prinsessa";297011;"2010";"Sandrew Metronome Dist.";2010-09-10;"Prinsessa";"SUOMI"
"837";"The Last Airbender";26583;"2010";"Finnkino Oy";2010-09-10;"The Last Airbender";"USA"
"838";"Enter The Void";4265;"2010";"Cinema Mondo Oy";2010-09-03;"Enter The Void";"RANSKA"
"839";"Salt";41478;"2010";"The Walt Disney Company Nordic";2010-09-03;"Salt";"USA"
"840";"Submarino";5318;"2010";"Sandrew Metronome Dist.";2010-09-03;"Submarino";"TANSKA-RUOTSI"
"841";"Vampyyrien imussa";23915;"2010";"FS Film Oy";2010-09-03;"Vampires Suck";"USA"
"842";"Vesku";37448;"2010";"FS Film Oy";2010-09-03;"Vesku";"SUOMI"
"843";"Adéle Blanc-Secin uskomattomat seikkailut";4206;"2010";"Nordisk Film Theatrical Distribution Oy";2010-08-27;"LesAventures extraordinaires d'Adèle Blanc-Sec";"RANSKA"
"844";"Soul Kitchen";4112;"2010";"Future Film";2010-08-27;"Soul Kitchen";"SAKSA"
"845";"Toy Story 3";214060;"2010";"The Walt Disney Company Nordic";2010-08-27;"Toy Story 3";"USA"
"846";"Karate Kid";32864;"2010";"The Walt Disney Company Nordic";2010-08-20;"The Karate Kid";"USA-KIINA"
"847";"Keikkaa pukkaa";178;"2010";"Finnkino Oy";2010-08-20;"Get Him to The Greek";"USA"
"848";"Killers";13046;"2010";"FS Film Oy";2010-08-20;"Killers";"USA"
"849";"22 Bullets";2849;"2010";"Scanbox Finland Oy";2010-08-20;"L'immortel";"RANSKA"
"850";"Kissat ja koirat: Katti Katalan kosto";49981;"2010";"Sandrew Metronome Dist.";2010-08-13;"Cats and Dogs: Revenge of Kitty Galore";"USA"
"851";"Micmacs";2218;"2010";"Scanbox Finland Oy";2010-08-13;"Micmacs à tire-larigot";"RANSKA"
"852";"Sisko tahtoisin jäädä";137921;"2010";"Nordisk Film Theatrical Distribution Oy";2010-08-13;"Sisko tahtoisin jäädä";"SUOMI"
"853";"The Expendables";90299;"2010";"Future Film";2010-08-13;"The Expendables";"USA"
"854";"Muumi ja punainen pyrstötähti";35451;"2010";"FS Film Oy";2010-08-06;"Muumi ja punainen pyrstötähti";"SUOMI"
"855";"Step Up 3D";33800;"2010";"Nordisk Film Theatrical Distribution Oy";2010-08-06;"Step Up 3D";"USA"
"856";"Marmaduke";22360;"2010";"FS Film Oy";2010-07-30;"Marmaduke";"USA"
"857";"Noidan oppipoika";23983;"2010";"The Walt Disney Company Nordic";2010-07-30;"The Sorcerer's Apprentice";"USA"
"858";"Splice";9881;"2010";"Cinema Mondo Oy";2010-07-30;"Splice";"RANSKA-KANADA"
"859";"Four Lions";4853;"2010";"Future Film";2010-07-23;"Four Lions";"ENGLANTI"
"860";"Inception";253289;"2010";"Sandrew Metronome Dist.";2010-07-23;"Inception";"USA"
"861";"Rakkauskirjeitä Julialle";7000;"2010";"Nordisk Film Theatrical Distribution Oy";2010-07-23;"Letters to Juliet";"USA"
"862";"Knight & Day";71357;"2010";"FS Film Oy";2010-07-16;"Knight & Day";"USA"
"863";"Kesähetket";13018;"2010";"Cinema Mondo Oy";2010-07-09;"L'heure d'été";"RANSKA"
"864";"Predators";32630;"2010";"FS Film Oy";2010-07-09;"Predators";"USA"
"865";"Shrek ja ikuinen onni";211247;"2010";"Finnkino Oy";2010-07-09;"Shrek Forever After";"USA"
"866";"When You're Strange";6272;"2010";"Cinema Mondo Oy";2010-07-02;"When You're Strange";"USA"
"867";"The Crazies";3596;"2010";"Future Film";2010-06-30;"The Crazies";"USA"
"868";"Twilight - Epäilys";177299;"2010";"Nordisk Film Theatrical Distribution Oy";2010-06-30;"Twilight: Eclipse";"USA"
"869";"Brooklyn's Finest";4637;"2010";"Future Film";2010-06-18;"Brooklyn's Finest";"USA"
"870";"Hot Tub Time Machine - kasarikankkunen";5137;"2010";"FS Film Oy";2010-06-18;"Hot Tub Time Machine";"USA"
"871";"Painajainen Elm Streetillä";6820;"2010";"Sandrew Metronome Dist.";2010-06-18;"A Nightmare on Elm Street";"USA"
"872";"Youth in Revolt";7213;"2010";"Scanbox Finland Oy";2010-06-18;"Youth in Revolt";"USA"
"873";"Aivan liian hotti";8794;"2010";"Finnkino Oy";2010-06-11;"She's Out of My League";"USA"
"874";"Karvaturrit vastakarvaan";5168;"2010";"Nordisk Film Theatrical Distribution Oy";2010-06-11;"Furry Vengeance";"USA"
"875";"The A-Team";39437;"2010";"FS Film Oy";2010-06-11;"The A-Team";"USA"
"876";"Vähän kunnioitusta";14662;"2010";"The Walt Disney Company Nordic";2010-06-11;"Vähän kunnioitusta";"SUOMI"
"877";"Harry Brown";1699;"2010";"Nordisk Film Theatrical Distribution Oy";2010-06-04;"Harry Brown";"ENGLANTI"
"878";"Nanny McPhee ja suuri pamaus";8359;"2010";"Finnkino Oy";2010-06-04;"Nanny McPhee and the Big Bang";"ENGLANTI"
"879";"Sinkkuelämää 2";328286;"2010";"Sandrew Metronome Dist.";2010-06-02;"Sex and the City 2";"USA"
"880";"Pari kyttää";4410;"2010";"Sandrew Metronome Dist.";2010-05-28;"Cop Out";"USA"
"881";"Streetdance 3D";31699;"2010";"Scanbox Finland Oy";2010-05-28;"Streetdance 3D";"ENGLANTI"
"882";"Prince of Persia: Sands of Time";69116;"2010";"The Walt Disney Company Nordic";2010-05-19;"Prince of Persia: Sands of Time";"USA"
"883";"Crazy Heart";6034;"2010";"FS Film Oy";2010-05-14;"Crazy Heart";"USA"
"884";"Robin Hood";89104;"2010";"Finnkino Oy";2010-05-12;"Robin Hood";"USA"
"885";"Iron Man 2";72946;"2010";"Finnkino Oy";2010-05-05;"Iron Man 2";"USA"
"886";"From Paris With Love";3890;"2010";"Nordisk Film Theatrical Distribution Oy";2010-04-30;"From Paris With Love";"RANSKA"
"887";"The Last Song";12519;"2010";"The Walt Disney Company Nordic";2010-04-30;"The Last Song";"USA"
"888";"Valhalla Rising";2760;"2010";"Scanbox Finland Oy";2010-04-30;"Valhalla Rising";"TANSKA-UK"
"889";"Date Night";38491;"2010";"FS Film Oy";2010-04-23;"Date Night";"USA"
"890";"Faija";9172;"2010";"Sandrew Metronome Dist.";2010-04-23;"Farsan";"RUOTSI"
"891";"Haikein terveisin";10474;"2010";"Nordisk Film Theatrical Distribution Oy";2010-04-23;"Dear John";"USA"
"892";"Katseeseen kätketty";16177;"2010";"Sandrew Metronome Dist.";2010-04-23;"El Secreto de sus ojos";"ARGENTIINA-ESPANJA"
"893";"Karkausvuosi";7147;"2010";"Finnkino Oy";2010-04-16;"Leap Year";"USA-IRLANTI"
"894";"Kick-Ass";34570;"2010";"Nordisk Film Theatrical Distribution Oy";2010-04-16;"Kick-Ass";"USA-ENGLANTI"
"895";"Rautaa rajan taa";306;"2010";"Finnkino Oy";2010-04-16;"Rautaa rajan taa";"SUOMI"
"896";"Winx - salaisuuksien linna";10885;"2010";"Scanbox Finland Oy";2010-04-16;"Winx club - Il segreto del regno perduto";"ITALIA"
"897";"Nowhere Boy";3840;"2010";"Nordisk Film Theatrical Distribution Oy";2010-04-09;"Nowhere Boy";"ENGLANTI"
"898";"Reindeerspotting";63654;"2010";"Nordisk Film Theatrical Distribution Oy";2010-04-09;"Reindeerspotting";"SUOMI"
"899";"The Ghost Writer";26494;"2010";"FS Film Oy";2010-04-09;"The Ghost Writer";"RANSKA-SAKSA-UK"
"900";"Titaanien taistelu";68406;"2010";"Sandrew Metronome Dist.";2010-04-09;"Clash of the Titans";"USA"
"901";"Yön kirkas tähti";3135;"2010";"Atlantic Film Oy";2010-04-09;"Bright Star";"UK-AUSTRALIA-RANSKA"
"902";"Aavikon kukka";28360;"2010";"Future Film";2010-04-02;"Desert Flower";"ENGLANTI-SAKSA"
"903";"Hachiko - Tarina uskollisuudesta";6047;"2010";"FS Film Oy";2010-04-02;"Hachiko: A Dog's Story";"USA"
"904";"Remember Me";29855;"2010";"Nordisk Film Theatrical Distribution Oy";2010-04-02;"Remember Me";"USA"
"905";"Viimeinen asema";2990;"2010";"The Walt Disney Company Nordic";2010-04-02;"The Last Station";"ENGLANTI-SAKSA"
"906";"Rahalla saa";13798;"2010";"Bio Rex Cinemas";2010-04-01;"Snabba Cash";"RUOTSI"
"907";"Exän jäljillä";39819;"2010";"The Walt Disney Company Nordic";2010-03-26;"Bounty Hunter";"USA"
"908";"Fantastic Mr Fox";1323;"2010";"FS Film Oy";2010-03-26;"Fantastic Mr Fox";"USA-ENGLANTI"
"909";"Miesten vuoro";49911;"2010";"Nordisk Film Theatrical Distribution Oy";2010-03-26;"Miesten vuoro";"SUOMI"
"910";"Näin koulutat lohikäärmeesi";44672;"2010";"Finnkino Oy";2010-03-26;"How to Train Your Dragon";"USA"
"911";"S.O.S – Mustakari";814;"2010";"Kinoscreen Illusion";2010-03-25;"S.O.S – Svartskjaer";"NORJA"
"912";"Brothers";5233;"2010";"Future Film";2010-03-19;"Brothers";"USA"
"913";"Elämä pelissä";12484;"2010";"Sandrew Metronome Dist.";2010-03-19;"The Blind Side";"USA"
"914";"Profeetta";10808;"2010";"The Walt Disney Company Nordic";2010-03-19;"Un Prophete";"RANSKA"
"915";"Tuomari Nurmio stadilaista tangoa etsimässä";975;"2010";"FS Film Oy";2010-03-19;"Tuomari Nurmio stadilaista tangoa etsimässä";"SUOMI"
"916";"An Education";2638;"2010";"Nordisk Film Theatrical Distribution Oy";2010-03-12;"An Education";"ENGLANTI"
"917";"Freetime Machos";1911;"2010";"Pirkanmaan Elokuvakeskus";2010-03-12;"Freetime Machos";"SUOMI"
"918";"Green Zone";21125;"2010";"Finnkino Oy";2010-03-12;"Green Zone";"USA"
"919";"Liisa ihmemaassa";305664;"2010";"The Walt Disney Company Nordic";2010-03-12;"Alice in Wonderland";"USA"
"920";"Valkoinen nauha";4995;"2010";"Future Film";2010-03-12;"Weisse Band, Das - eine deutsche Kindergeschichte";"ITÄVALTA-SAKSA"
"921";"A Single Man";11851;"2010";"FS Film Oy";2010-03-05;"A Single Man";"USA"
"922";"Kohtaamisia";29381;"2010";"Nordisk Film Theatrical Distribution Oy";2010-03-05;"Kohtaamisia";"SUOMI"
"923";"Oma taivas";12596;"2010";"Finnkino Oy";2010-03-05;"The Lovely Bones";"USA"
"924";"Precious";27367;"2010";"Future Film";2010-03-05;"Precious: Based on the Novel Push by Sapphire";"USA"
"925";"I Love You Phillip Morris";54329;"2010";"Scanbox Finland Oy";2010-02-26;"I Love You Phillip Morris";"USA"
"926";"Prinsessa Mononoke";9850;"2010";"Cinema Mondo Oy";2010-02-26;"Mononoke hime";"JAPANI"
"927";"Sukunsa viimeinen";1536;"2010";"Pirkanmaan Elokuvakeskus";2010-02-26;"Pudana – Last of the Line";"SUOMI"
"928";"Vuohia tuijottavat miehet";28417;"2010";"Sandrew Metronome Dist.";2010-02-26;"The Men Who Stare at Goats";"USA"
